STATE,Mean,Outs
000 0,0.4981684981684982,0
001 0,1.3469785575048734,0
010 0,1.1331761932822628,0
011 0,1.9287878787878787,0
100 0,0.8579805754077332,0
101 0,1.7232704402515724,0
110 0,1.4446632532493107,0
111 0,2.1061046511627906,0
000 1,0.2679028132992327,1
001 1,0.9368879216539717,1
010 1,0.6728555514296324,1
011 1,1.3577863577863578,1
100 1,0.5121336996336996,1
101 1,1.1957569913211186,1
110 1,0.9206210365186966,1
111 1,1.5372148859543817,1
000 2,0.10620809817809931,2
001 2,0.3719533733663017,2
010 2,0.3124910162426333,2
011 2,0.5481675392670157,2
100 2,0.22020568663036902,2
101 2,0.4782453637660485,2
110 2,0.41360978203083465,2
111 2,0.6952723535457348,2
